#{"t_start": 1618548176.2107072, "env_id": "BreakoutNoFrameskip-v0"}
r,l,t
1.0,52,554.824577
1.0,73,556.199007
1.0,69,556.815471
1.0,74,558.219695
1.0,77,559.64788
1.0,83,560.408586
2.0,104,562.069793
1.0,51,562.554696
1.0,55,563.785236
2.0,100,565.417645
2.0,107,566.401992
0.0,42,567.506207
1.0,51,567.967762
1.0,64,569.278885
1.0,61,569.824573
1.0,53,571.026409
1.0,72,571.66318
4.0,167,573.910676
1.0,61,575.205996
1.0,70,575.845726
4.0,163,578.807287
1.0,114,580.583317
1.0,51,581.062591
3.0,147,583.120158
2.0,89,584.681347
4.0,177,587.026486
1.0,94,588.628486
1.0,53,589.107609
1.0,73,590.521044
2.0,112,592.238308
1.0,78,592.923515
4.0,166,595.881863
1.0,51,596.368263
1.0,57,597.635499
1.0,56,598.142494
1.0,67,599.485774
1.0,54,599.992611
3.0,147,602.067789
0.0,23,602.274602
1.0,75,603.720666
1.0,51,604.208863
2.0,103,605.859465
0.0,23,606.078321
3.0,119,607.908505
1.0,53,609.126434
5.0,214,611.780993
1.0,100,613.388539
1.0,70,614.758467
2.0,100,615.685234
1.0,55,616.915841
1.0,60,617.452855
4.0,157,619.597972
4.0,173,622.617061
1.0,53,623.105919
3.0,171,626.121915
0.0,36,626.45906
1.0,59,626.98483
4.0,167,629.945098
3.0,140,631.919319
0.0,23,632.119445
1.0,75,633.542131
2.0,85,634.295498
1.0,51,635.489369
1.0,55,635.986256
1.0,57,636.48244
4.0,173,639.506494
1.0,58,640.031739
2.0,98,641.63874
1.0,81,643.088708
0.0,30,643.364208
1.0,79,644.056553
1.0,90,645.613855
0.0,23,645.828175
1.0,52,647.035928
5.0,204,649.598797
3.0,134,651.537152
1.0,52,652.773857
2.0,103,654.424812
5.0,190,656.86608
1.0,75,658.297437
1.0,78,658.99631
1.0,53,660.214737
5.0,177,662.524632
0.0,26,662.785778
0.0,25,663.744439
0.0,26,663.974528
0.0,28,664.228497
1.0,51,664.710987
2.0,92,666.264537
1.0,72,667.630562
3.0,178,669.965722
3.0,159,672.129767
1.0,51,673.32414
4.0,186,675.736028
1.0,56,676.954097
4.0,174,679.259773
2.0,86,680.741135
0.0,23,680.954765
1.0,54,681.454885
0.0,26,681.687354
0.0,26,682.646867
4.0,172,684.918218
1.0,51,685.38158
3.0,167,688.377716
0.0,34,688.689035
4.0,175,690.963499
2.0,127,692.865643
0.0,23,693.075893
1.0,54,694.287858
11.0,439,700.398973
0.0,28,700.664718
4.0,168,703.622757
3.0,129,705.559956
3.0,147,707.637642
0.0,30,707.923019
1.0,56,709.16419
1.0,58,709.675186
2.0,120,711.504474
0.0,27,711.742496
1.0,53,712.939526
0.0,24,713.161381
3.0,172,715.464298
0.0,23,715.674207
1.0,53,716.864945
4.0,170,719.103731
2.0,127,721.002596
3.0,191,724.165125
1.0,51,724.636018
2.0,93,726.217064
6.0,221,728.93734
4.0,218,732.31127
1.0,72,733.715838
4.0,166,735.938001
0.0,37,736.264883
0.0,28,737.270942
1.0,75,737.928523
4.0,157,740.065934
2.0,116,741.839709
2.0,82,743.304492
1.0,53,743.789058
1.0,76,745.202201
4.0,161,747.352001
3.0,147,749.430201
3.0,185,752.553581
4.0,173,754.810344
1.0,78,756.279023
0.0,31,756.55152
7.0,243,760.170055
1.0,84,760.948812
4.0,157,763.810246
0.0,97,764.702886
1.0,102,766.33668
3.0,147,768.380328
1.0,57,769.635498
1.0,62,770.185941
11.0,446,777.072846
2.0,91,778.643586
4.0,172,780.939896
2.0,117,782.697092
3.0,171,784.92209
1.0,57,786.187233
2.0,113,787.20736
4.0,140,789.935999
2.0,124,791.793633
2.0,126,793.672743
0.0,36,794.005247
1.0,52,794.462025
5.0,190,797.666597
4.0,221,800.366519
1.0,71,801.744074
4.0,218,805.189921
3.0,162,807.374905
0.0,23,807.604553
4.0,168,809.830207
4.0,194,813.073282
0.0,29,813.336201
1.0,63,814.604355
2.0,82,815.359476
2.0,93,816.918453
1.0,54,817.401523
3.0,149,820.182751
4.0,168,822.415009
4.0,168,824.663545
2.0,104,826.31292
5.0,208,829.653525
1.0,77,830.362025
1.0,82,831.836692
3.0,147,833.888321
1.0,55,834.408676
1.0,54,835.612618
3.0,161,837.792372
2.0,119,839.58342
0.0,23,839.799829
3.0,131,841.694853
3.0,172,844.705251
1.0,56,845.233423
3.0,154,847.332735
1.0,51,848.520941
0.0,27,848.760098
2.0,87,850.278531
1.0,57,850.778716
1.0,54,851.25701
2.0,98,852.88668
1.0,74,854.294607
0.0,27,854.532157
1.0,55,855.014882
1.0,55,856.225798
2.0,98,857.83448
1.0,73,858.484603
1.0,84,859.963271
2.0,91,861.506618
1.0,78,862.19238
3.0,132,864.111452
2.0,118,865.894499
1.0,78,867.336542
2.0,124,869.153272
2.0,127,871.036711
3.0,147,873.072609
1.0,80,873.796721
1.0,80,875.236695
1.0,77,876.663957
1.0,85,877.418695
1.0,52,878.617194
0.0,23,878.828748
2.0,103,880.48967
1.0,74,881.140444
1.0,74,882.548581
0.0,23,882.767671
2.0,118,884.524267
3.0,152,886.620882
4.0,175,889.646516
1.0,82,890.392753
1.0,70,891.78782
4.0,157,894.059524
1.0,55,894.580924
0.0,25,895.61321
2.0,107,896.61656
9.0,348,901.989744
1.0,81,903.487445
1.0,97,905.194834
2.0,130,907.276154
2.0,104,908.201323
6.0,215,911.734394
0.0,32,912.034007
1.0,73,913.499576
5.0,196,915.985202
4.0,163,919.048136
0.0,23,919.278185
0.0,26,919.536081
3.0,158,921.841051
1.0,77,923.286123
1.0,74,923.959782
5.0,214,927.462863
1.0,91,929.020428
1.0,976,943.236536
1.0,76,944.652527
2.0,177,946.97452
3.0,169,949.967127
3.0,156,952.101618
0.0,55,952.624906
2.0,101,954.278962
1.0,59,955.557468
4.0,167,957.846741
1.0,71,959.268318
3.0,167,961.542036
1.0,115,963.377924
1.0,99,965.029255
5.0,196,967.565778
3.0,178,969.928612
4.0,155,972.813009
2.0,150,974.921698
2.0,108,976.620121
1.0,51,977.089822
4.0,169,979.373413
1.0,76,980.812848
1.0,74,982.291769
1.0,80,983.025863
1.0,71,984.418028
6.0,218,987.105729
1.0,78,988.598353
1.0,80,990.098792
0.0,27,990.335741
3.0,130,992.257849
4.0,164,994.48851
1.0,81,995.954386
3.0,129,997.848482
4.0,184,1000.230267
0.0,23,1000.465415
0.0,25,1001.448699
4.0,141,1003.46894
4.0,179,1005.777689
0.0,39,1006.128638
0.0,23,1007.100374
3.0,150,1009.225306
4.0,171,1011.538238
1.0,61,1012.832542
1.0,58,1013.338689
1.0,51,1013.794845
2.0,118,1015.603492
1.0,72,1017.02732
0.0,30,1017.305791
2.0,125,1019.210433
0.0,23,1019.428502
2.0,91,1020.999081
2.0,111,1022.741245
1.0,77,1024.167549
1.0,77,1024.854587
6.0,213,1028.230547
1.0,74,1028.899087
1.0,76,1030.291728
2.0,127,1032.182106
2.0,131,1034.124533
0.0,23,1034.360347
3.0,135,1036.347642
1.0,73,1037.748184
4.0,158,1039.897577
2.0,106,1041.620444
4.0,169,1043.907668
2.0,87,1045.420839
4.0,170,1047.702559
2.0,129,1049.589932
1.0,57,1050.874017
4.0,152,1052.990278
1.0,57,1053.511869
5.0,205,1056.829203
3.0,144,1058.917968
1.0,59,1059.449225
5.0,175,1062.47441
2.0,86,1063.27134
2.0,111,1065.087934
1.0,57,1066.338008
1.0,53,1066.830659
1.0,51,1068.012219
3.0,168,1070.298892
4.0,195,1072.807899
0.0,23,1073.769437
1.0,73,1074.416873
6.0,218,1077.937407
2.0,89,1079.476024
2.0,93,1080.301166
0.0,25,1081.278214
4.0,181,1083.649193
2.0,100,1085.309684
4.0,190,1087.74722
3.0,135,1089.703555
4.0,187,1092.864661
1.0,53,1093.336503
0.0,23,1093.550431
1.0,72,1094.946885
3.0,145,1096.990046
1.0,64,1097.564654
1.0,55,1098.801305
4.0,183,1101.186275
6.0,222,1104.648132
2.0,118,1106.440084
2.0,120,1108.283109
2.0,145,1110.329048
2.0,82,1111.811824
4.0,176,1114.086371
0.0,26,1114.342734
3.0,156,1117.236335
2.0,124,1118.336874
1.0,51,1119.545709
2.0,88,1121.062272
1.0,71,1121.704262
3.0,134,1123.643028
0.0,25,1123.868729
3.0,148,1126.721051
3.0,135,1128.72732
1.0,56,1129.244324
6.0,252,1133.018263
6.0,246,1136.728162
1.0,69,1137.360575
3.0,129,1139.234525
2.0,89,1140.776561
1.0,76,1142.185126
1.0,76,1142.866948
2.0,98,1144.506915
6.0,236,1148.10063
0.0,29,1148.359451
3.0,170,1150.618643
3.0,167,1153.585461
0.0,23,1153.810836
2.0,87,1155.312568
2.0,88,1156.104996
1.0,78,1157.522377
4.0,174,1159.843152
2.0,98,1161.465285
2.0,125,1163.347854
1.0,76,1164.750936
1.0,78,1165.457294
2.0,131,1167.372538
4.0,155,1169.507814
4.0,192,1172.761689
0.0,25,1172.990952
1.0,77,1174.423329
2.0,84,1175.17896
3.0,114,1176.98293
4.0,157,1179.866691
2.0,88,1180.666018
1.0,55,1181.912417
4.0,194,1184.424046
1.0,69,1185.897317
4.0,172,1188.236391
1.0,59,1189.542326
5.0,201,1192.107121
1.0,78,1193.582242
4.0,155,1195.724267
3.0,140,1197.758836
4.0,166,1200.075186
1.0,54,1201.309208
1.0,56,1201.798539
3.0,130,1203.792312
1.0,75,1205.29687
1.0,52,1205.755019
2.0,105,1207.431756
2.0,120,1209.244195
5.0,190,1211.706393
1.0,74,1213.10424
